nikzad,nate,kasey,shawn,mcclune,dan,robert,tocci
288.40,217.90, 80.10, 69.70,129.50,223.50,315.08,130.84
 58.10,217.90,153.70, 88.80,338.44,224.20,287.78,144.70
153.70, 87.20,214.58,146.70,178.30,178.60, 91.40, 76.60
153.40, 72.50,211.20,138.00,116.50,151.80,104.70,125.90
148.80,204.36,158.20, 70.30, 75.30,167.40,181.80, 40.66
126.70,140.50,116.50, 55.00,268.90,233.70,128.30,227.00
 61.90,264.86,176.30,145.20,138.70,356.36, 58.80, 77.90
 94.50,211.60, 50.90, 74.80, 80.10,146.80,170.00,167.00
202.00,112.30, 86.90, 85.00,111.50, 63.70,164.60, 75.50
269.46,198.28,103.30, 59.30,188.50,137.80,119.90, 64.00
143.00,116.00,213.20, 50.00,161.94,110.20, 74.30, 57.70
124.00,138.00,187.40,151.56,  0.00, 30.00,116.60,102.00
113.50,143.20, 12.70,260.32,217.00,302.08,161.70, 91.10
258.58, 98.80, 40.60,189.30,133.00,128.40,213.56,137.40
265.00,196.00,261.00, 76.00, 75.20,167.90, 55.60,127.40
 17.00, 84.70, 98.10,179.00, 86.30,166.00,116.00,119.30
 17.00,252.22,128.00,210.02, 39.50, 47.10,230.00,120.20
 67.70,104.00, 72.80,137.00,238.00, 74.00, 60.50, 23.10
